address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost_two_people,reviews_list,cuisines_count,service_type,city_location
"Address_980, Bangalore",Nandhana Palace,No,No,2.2,1850,080-3378560,HSR Layout,Fine Dining,Salad,"Chinese, Desserts, Mexican",2500,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_649, Bangalore",Resto_649,Yes,No,4.1,2263,080-2939164,Marathahalli,Casual Dining,Salad,"Fast Food, Mexican, South Indian, Thai",1500,Sample Review Text...,4,Delivery,Bengaluru
"Address_737, Bangalore",Resto_737,Yes,Yes,3.3,2615,080-6528345,Koramangala,Bar,Pizza,"Desserts, Fast Food, Italian, North Indian, Thai",1500,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_150, Bangalore",Resto_150,Yes,No,4.2,2285,080-9099554,HSR Layout,Bakery,Pizza,"Desserts, Mexican, South Indian",1200,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_59, Bangalore",KFC,No,Yes,3.8,2776,080-1559763,Jayanagar,Fine Dining,Sushi,North Indian,1000,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_149, Bangalore",Burger King,No,Yes,3,2199,080-7704473,Indiranagar,Casual Dining,Sushi,"South Indian, Thai",3000,Sample Review Text...,2,Cafes,Bengaluru
"Address_168, Bangalore",KFC,Yes,No,2.2,980,080-2191383,Marathahalli,Bakery,Biryani,Italian,2000,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_456, Bangalore",Nandhana Palace,Yes,No,2.9,1852,080-8534223,unknown,Bar,Pasta,"Beverages, Continental, Desserts, South Indian",2000,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_870, Bangalore",Resto_870,No,No,3.8,257,080-6438575,Whitefield,Fine Dining,Burgers,"Continental, Fast Food, Italian",1200,Sample Review Text...,3,Buffet,Bengaluru
"Address_876, Bangalore",KFC,Yes,No,3,968,080-1292604,Jayanagar,Casual Dining,Pasta,"Chinese, Desserts, Fast Food, Italian, Thai",800,Sample Review Text...,5,Delivery,Bengaluru
"Address_774, Bangalore",Burger King,No,Yes,4.5,1147,080-9146156,Whitefield,Quick Service Restaurant,Burgers,"Continental, Mexican, North Indian, South Indian, Thai",200,Sample Review Text...,5,Buffet,Bengaluru
"Address_258, Bangalore",Burger King,No,Yes,3.5,29,080-6299951,Indiranagar,Pub,Steak,Mexican,800,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_372, Bangalore",Resto_372,Yes,No,4.2,2878,080-8095573,HSR Layout,Bar,Dosa,"Fast Food, Thai",1000,Sample Review Text...,2,Delivery,Bengaluru
"Address_1, Bangalore",Burger King,Yes,No,4.3,26,080-7374122,Jayanagar,Fine Dining,Pizza,"Chinese, Continental, South Indian, Thai",1200,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_366, Bangalore",Resto_366,No,Yes,2.1,2329,080-6764248,Koramangala,Quick Service Restaurant,Burgers,"Chinese, Desserts",2000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_509, Bangalore",McDonald's,Yes,No,2.2,2013,080-3913796,Indiranagar,Cafe,Burgers,South Indian,800,Sample Review Text...,1,Dine-out,Bengaluru
"Address_744, Bangalore",Burger King,No,Yes,3.4,1243,080-7602542,JP Nagar,Cafe,Steak,"Beverages, Fast Food, Thai",2000,Sample Review Text...,3,Delivery,Bengaluru
"Address_277, Bangalore",Burger King,No,Yes,2.8,2566,080-8838205,Jayanagar,Cafe,Dosa,"Beverages, Fast Food, North Indian, South Indian, Thai",1200,Sample Review Text...,5,Buffet,Bengaluru
"Address_722, Bangalore",Resto_722,No,Yes,2.1,1329,080-8979292,HSR Layout,Casual Dining,Biryani,"Continental, Desserts, Fast Food, Mexican, Thai",1200,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_640, Bangalore",Leon Grill,No,No,2.2,2642,080-6840068,Marathahalli,Bakery,Steak,"Chinese, Continental, Fast Food, South Indian",1200,Sample Review Text...,4,Delivery,Bengaluru
"Address_535, Bangalore",Nandhana Palace,Yes,Yes,3.7,737,080-3704659,Koramangala,Pub,Pizza,"Beverages, Chinese, North Indian, Thai",3000,Sample Review Text...,4,Buffet,Bengaluru
"Address_538, Bangalore",KFC,No,No,3.8,304,080-3403234,Whitefield,Quick Service Restaurant,Burgers,"Desserts, Mexican, North Indian, South Indian",1000,Sample Review Text...,4,Delivery,Bengaluru
"Address_298, Bangalore",Nandhana Palace,Yes,Yes,3.8,221,080-6483324,Whitefield,Pub,Burgers,Thai,2500,Sample Review Text...,1,Dine-out,Bengaluru
"Address_367, Bangalore",Leon Grill,Yes,Yes,3.5,886,080-8285484,Marathahalli,Bar,Burgers,"Continental, Mexican, North Indian, Thai",800,Sample Review Text...,4,Buffet,Bengaluru
"Address_417, Bangalore",Resto_417,Yes,Yes,4.3,557,080-3647821,Koramangala,Bakery,Burgers,"Continental, Thai",3000,Sample Review Text...,2,Buffet,Bengaluru
"Address_350, Bangalore",Leon Grill,Yes,Yes,3.4,310,080-2046686,Marathahalli,Quick Service Restaurant,Steak,"Continental, Mexican, South Indian, Thai",400,Sample Review Text...,4,Cafes,Bengaluru
"Address_875, Bangalore",Resto_875,No,Yes,4.7,2812,080-6664086,MG Road,Cafe,Dosa,Fast Food,200,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_715, Bangalore",Resto_715,No,No,3.5,2678,080-2945459,MG Road,Bakery,Salad,Continental,1000,Sample Review Text...,1,Buffet,Bengaluru
"Address_175, Bangalore",Resto_175,No,No,3.7,489,080-8802985,Koramangala,Cafe,Dosa,"Beverages, North Indian",1500,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_338, Bangalore",KFC,No,No,4.1,1663,080-7044627,MG Road,Bakery,Steak,"Chinese, Desserts, Italian, Mexican, South Indian",1000,Sample Review Text...,5,Dine-out,Bengaluru
"Address_534, Bangalore",Burger King,No,Yes,3.5,260,080-9893395,Jayanagar,Bakery,Salad,Mexican,2500,Sample Review Text...,1,Delivery,Bengaluru
"Address_566, Bangalore",Resto_566,No,Yes,2.4,48,080-2402500,Indiranagar,Bakery,Dosa,"Chinese, Fast Food, Mexican, North Indian",200,Sample Review Text...,4,Dine-out,Bengaluru
"Address_865, Bangalore",Resto_865,Yes,No,3.5,245,080-9059592,Koramangala,Casual Dining,Burgers,"Beverages, Chinese, Continental, North Indian, South Indian",1200,Sample Review Text...,5,Dine-out,Bengaluru
"Address_974, Bangalore",Burger King,Yes,No,3.5,2579,080-9754480,Indiranagar,Bar,Burgers,"Desserts, Mexican, North Indian",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_151, Bangalore",Nandhana Palace,Yes,Yes,3,847,080-2930810,Marathahalli,Quick Service Restaurant,Biryani,"Beverages, Chinese, Desserts, South Indian",400,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_580, Bangalore",Resto_580,Yes,Yes,2,1266,080-1752869,HSR Layout,Pub,Salad,"Italian, North Indian",1000,Sample Review Text...,2,Delivery,Bengaluru
"Address_609, Bangalore",Nandhana Palace,No,No,2.9,807,080-3871248,Koramangala,Bar,Sushi,"Continental, Desserts, Italian, North Indian",400,Sample Review Text...,4,Buffet,Bengaluru
"Address_886, Bangalore",Pizza Hut,No,Yes,4.1,2922,080-9220106,HSR Layout,Cafe,Steak,"Beverages, Chinese, Fast Food, Mexican, North Indian",1000,Sample Review Text...,5,Buffet,Bengaluru
"Address_39, Bangalore",Onesta,No,No,2.3,907,080-6767292,MG Road,Fine Dining,Steak,"Continental, Thai",2000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_705, Bangalore",Leon Grill,Yes,No,3.6,2876,080-4535328,MG Road,Quick Service Restaurant,Dosa,"Continental, Italian, Thai",400,Sample Review Text...,3,Dine-out,Bengaluru
"Address_651, Bangalore",Resto_651,Yes,No,2.1,1432,080-2288554,HSR Layout,Quick Service Restaurant,Pizza,"Fast Food, Mexican",2000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_174, Bangalore",Nandhana Palace,Yes,Yes,3.5,50,080-8035849,HSR Layout,Casual Dining,Burgers,"Chinese, Mexican, South Indian, Thai",200,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_944, Bangalore",Resto_944,Yes,Yes,3.4,402,080-2932023,Marathahalli,Bar,Dosa,"Beverages, Chinese, Fast Food, North Indian, Thai",1200,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_531, Bangalore",Resto_531,Yes,Yes,4.5,417,080-1880336,Jayanagar,Bakery,Pizza,"Chinese, Fast Food, North Indian, South Indian",2000,Sample Review Text...,4,Buffet,Bengaluru
"Address_329, Bangalore",Resto_329,No,No,3.9,1116,080-6343290,Jayanagar,Cafe,Dosa,"Chinese, Fast Food, North Indian",800,Sample Review Text...,3,Dine-out,Bengaluru
"Address_260, Bangalore",Onesta,No,No,4.2,1630,080-3714471,Jayanagar,Bar,Pizza,Italian,2000,Sample Review Text...,1,Dine-out,Bengaluru
"Address_191, Bangalore",Resto_191,Yes,Yes,2.4,318,080-4517918,HSR Layout,Quick Service Restaurant,Burgers,"Chinese, South Indian, Thai",2000,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_205, Bangalore",Pizza Hut,Yes,No,3.5,203,080-9611430,Jayanagar,Bar,Biryani,"Beverages, Chinese, Fast Food, Italian, Thai",1000,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_879, Bangalore",McDonald's,No,Yes,3.8,1811,080-4475080,HSR Layout,Quick Service Restaurant,Burgers,"Chinese, Mexican",600,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_606, Bangalore",Onesta,No,No,4.2,1305,080-1566398,Indiranagar,Pub,Dosa,"Italian, Mexican, South Indian, Thai",400,Sample Review Text...,4,Buffet,Bengaluru
"Address_470, Bangalore",Resto_470,Yes,Yes,3.7,933,080-8615616,Whitefield,Cafe,Biryani,Beverages,3000,Sample Review Text...,1,Cafes,Bengaluru
"Address_50, Bangalore",Burger King,Yes,Yes,4.6,1890,080-7970771,Indiranagar,Fine Dining,Salad,"Continental, Desserts",2500,Sample Review Text...,2,Cafes,Bengaluru
"Address_602, Bangalore",McDonald's,Yes,No,3.5,89,080-8564486,MG Road,Casual Dining,Pasta,"Beverages, Chinese, Italian, Mexican",1200,Sample Review Text...,4,Dine-out,Bengaluru
"Address_196, Bangalore",Pizza Hut,No,No,3.9,373,080-8377620,MG Road,Cafe,Salad,"Mexican, South Indian, Thai",2000,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_732, Bangalore",Resto_732,No,No,2.3,1075,080-5078015,Indiranagar,Fine Dining,Salad,"Mexican, Thai",1200,Sample Review Text...,2,Dine-out,Bengaluru
"Address_351, Bangalore",Resto_351,Yes,No,2.8,1804,080-2819161,Indiranagar,Bakery,Pasta,"Fast Food, Mexican",600,Sample Review Text...,2,Buffet,Bengaluru
"Address_128, Bangalore",Empire Restaurant,Yes,Yes,2.7,889,080-3403511,Koramangala,Cafe,Burgers,"Continental, Fast Food, Italian, Mexican, Thai",1200,Sample Review Text...,5,Cafes,Bengaluru
"Address_549, Bangalore",Resto_549,No,Yes,3.1,1492,080-8280643,MG Road,Cafe,Biryani,"Chinese, Continental, Desserts, Italian, Thai",600,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_308, Bangalore",Resto_308,Yes,Yes,2.9,2888,080-9941610,Jayanagar,Bakery,Pizza,"Fast Food, South Indian",1200,Sample Review Text...,2,Dine-out,Bengaluru
"Address_370, Bangalore",Empire Restaurant,Yes,No,3,133,080-6632022,Whitefield,Bakery,Biryani,"Beverages, Fast Food, Italian",400,Sample Review Text...,3,Buffet,Bengaluru
"Address_467, Bangalore",Onesta,No,Yes,3.9,317,080-3972698,Koramangala,Bar,Biryani,"Chinese, Desserts, Mexican, Thai",3000,Sample Review Text...,4,Delivery,Bengaluru
"Address_702, Bangalore",Nandhana Palace,No,Yes,3.5,370,080-1337345,Jayanagar,Fine Dining,Pasta,South Indian,1200,Sample Review Text...,1,Delivery,Bengaluru
"Address_248, Bangalore",Empire Restaurant,No,Yes,3.6,2226,080-5882155,Marathahalli,Fine Dining,Pasta,"Mexican, Thai",800,Sample Review Text...,2,Cafes,Bengaluru
"Address_284, Bangalore",Resto_284,Yes,No,3.3,137,080-6236326,HSR Layout,Bakery,Sushi,Beverages,800,Sample Review Text...,1,Dine-out,Bengaluru
"Address_57, Bangalore",Leon Grill,Yes,No,3.3,2731,080-6018975,Koramangala,Bar,Steak,"Beverages, Continental, North Indian, South Indian",2000,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_625, Bangalore",Resto_625,Yes,Yes,4.5,2700,080-4252130,Jayanagar,Quick Service Restaurant,Steak,"Italian, Mexican, North Indian, South Indian",800,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_856, Bangalore",Resto_856,Yes,Yes,4.8,1728,080-8189437,JP Nagar,Fine Dining,Salad,"Continental, Italian, North Indian, Thai",1200,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_166, Bangalore",Resto_166,No,Yes,4.4,545,080-3539636,Jayanagar,Casual Dining,Steak,"Desserts, Fast Food, Italian, North Indian, South Indian",800,Sample Review Text...,5,Buffet,Bengaluru
"Address_579, Bangalore",Resto_579,No,No,4.3,2648,080-6628280,MG Road,Cafe,Biryani,"Beverages, Chinese, Fast Food",1200,Sample Review Text...,3,Dine-out,Bengaluru
"Address_411, Bangalore",Resto_411,Yes,No,3.9,369,080-3024047,MG Road,Bar,Dosa,"Chinese, Italian",3000,Sample Review Text...,2,Cafes,Bengaluru
"Address_808, Bangalore",McDonald's,Yes,No,3.2,1852,080-9890863,Marathahalli,Bakery,Burgers,"Beverages, Desserts, Fast Food, Thai",1500,Sample Review Text...,4,Dine-out,Bengaluru
"Address_643, Bangalore",KFC,Yes,No,4,923,080-1406730,HSR Layout,Fine Dining,Pizza,"Beverages, Mexican",800,Sample Review Text...,2,Dine-out,Bengaluru
"Address_144, Bangalore",Resto_144,No,Yes,4.3,1577,080-7387623,Koramangala,Quick Service Restaurant,Pasta,"Chinese, Continental, Italian, Mexican",2500,Sample Review Text...,4,Dine-out,Bengaluru
"Address_494, Bangalore",Onesta,Yes,No,2.5,1682,080-2153651,MG Road,Cafe,Steak,South Indian,2500,Sample Review Text...,1,Dine-out,Bengaluru
"Address_789, Bangalore",Pizza Hut,No,Yes,3.2,928,080-9789034,JP Nagar,Fine Dining,Dosa,Thai,2000,Sample Review Text...,1,Delivery,Bengaluru
"Address_596, Bangalore",Nandhana Palace,No,Yes,4.5,867,080-6882321,HSR Layout,Bar,Salad,"Beverages, Chinese, Desserts, Mexican",2000,Sample Review Text...,4,Cafes,Bengaluru
"Address_246, Bangalore",Pizza Hut,Yes,No,4.8,690,080-3253277,Koramangala,Quick Service Restaurant,Sushi,"Italian, Mexican",1000,Sample Review Text...,2,Cafes,Bengaluru
"Address_288, Bangalore",Pizza Hut,No,Yes,3.6,1325,080-5418267,Marathahalli,Quick Service Restaurant,Sushi,"Beverages, Chinese, Continental, Desserts, South Indian",2000,Sample Review Text...,5,Cafes,Bengaluru
"Address_70, Bangalore",Resto_70,No,No,4,1942,080-7251976,Indiranagar,Casual Dining,Pasta,Chinese,1500,Sample Review Text...,1,Buffet,Bengaluru
"Address_782, Bangalore",KFC,Yes,Yes,4.8,2507,080-7704457,Marathahalli,Bar,Steak,"Beverages, Desserts, Italian, Mexican",600,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_206, Bangalore",Resto_206,Yes,Yes,2,1033,080-8829893,Whitefield,Fine Dining,Dosa,"Fast Food, Mexican, Thai",2000,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_811, Bangalore",KFC,Yes,No,2.7,534,080-1145436,Marathahalli,Quick Service Restaurant,Biryani,"Beverages, Desserts, Fast Food, North Indian, Thai",400,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_545, Bangalore",Nandhana Palace,No,Yes,4.6,29,080-9783147,MG Road,Fine Dining,Burgers,"Beverages, Continental, Italian, North Indian, Thai",600,Sample Review Text...,5,Dine-out,Bengaluru
"Address_33, Bangalore",Resto_33,No,No,4.4,1033,080-6871360,Indiranagar,Bakery,Burgers,Beverages,200,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_143, Bangalore",Leon Grill,No,No,2.3,1262,080-9597330,Marathahalli,Quick Service Restaurant,Steak,"Chinese, Fast Food, South Indian",600,Sample Review Text...,3,Delivery,Bengaluru
"Address_547, Bangalore",Pizza Hut,Yes,Yes,3.6,890,080-6512184,Whitefield,Fine Dining,Dosa,"Beverages, Desserts, Fast Food, North Indian, South Indian",200,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_860, Bangalore",Burger King,Yes,No,4,2011,080-2840033,Jayanagar,Bakery,Pasta,"Continental, North Indian, South Indian",3000,Sample Review Text...,3,Delivery,Bengaluru
"Address_352, Bangalore",KFC,Yes,No,2.3,298,080-1014556,Indiranagar,Pub,Biryani,"Desserts, Fast Food, North Indian",600,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_471, Bangalore",Empire Restaurant,No,No,3.2,498,080-8047472,Marathahalli,Bakery,Salad,"Beverages, Italian, North Indian",200,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_783, Bangalore",Resto_783,No,No,3.1,961,080-3160312,JP Nagar,Pub,Pizza,"Chinese, South Indian, Thai",800,Sample Review Text...,3,Buffet,Bengaluru
"Address_318, Bangalore",Empire Restaurant,Yes,No,3.6,850,080-1544120,Koramangala,Cafe,Dosa,"North Indian, Thai",200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_66, Bangalore",Resto_66,Yes,Yes,2.1,60,080-1879109,JP Nagar,Bar,Pasta,"Fast Food, Thai",200,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_129, Bangalore",Resto_129,Yes,Yes,3.2,2030,080-4084977,Koramangala,Quick Service Restaurant,Salad,"Beverages, Italian, Mexican, Thai",600,Sample Review Text...,4,Dine-out,Bengaluru
"Address_497, Bangalore",Resto_497,Yes,Yes,4.7,981,080-7186297,Jayanagar,Quick Service Restaurant,Pizza,"Chinese, Continental, Desserts, Italian, Mexican",2500,Sample Review Text...,5,Delivery,Bengaluru
"Address_521, Bangalore",McDonald's,No,No,4.8,1352,080-5688687,Indiranagar,Casual Dining,Burgers,"Continental, Mexican, North Indian, South Indian",400,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_237, Bangalore",Nandhana Palace,No,Yes,3.9,1356,080-1147701,JP Nagar,Quick Service Restaurant,Pizza,"Beverages, Fast Food",2000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_607, Bangalore",McDonald's,No,Yes,3.5,1321,080-7235425,MG Road,Bar,Sushi,"Italian, Thai",400,Sample Review Text...,2,Dine-out,Bengaluru
"Address_848, Bangalore",Pizza Hut,No,Yes,3.4,2995,080-9345380,Jayanagar,Cafe,Steak,Mexican,1500,Sample Review Text...,1,Cafes,Bengaluru
"Address_71, Bangalore",Resto_71,No,Yes,4.5,1732,080-9089795,Koramangala,Quick Service Restaurant,Burgers,"Chinese, Continental, Fast Food, Mexican, Thai",800,Sample Review Text...,5,Delivery,Bengaluru
"Address_680, Bangalore",KFC,Yes,Yes,2.3,2512,080-6591646,JP Nagar,Cafe,Sushi,"Beverages, Fast Food, Italian, Mexican, North Indian",400,Sample Review Text...,5,Buffet,Bengaluru
"Address_612, Bangalore",Onesta,Yes,No,2.3,917,080-8309538,Koramangala,Bar,Burgers,South Indian,400,Sample Review Text...,1,Dine-out,Bengaluru
"Address_495, Bangalore",Resto_495,Yes,No,4.1,1944,080-8478135,Jayanagar,Pub,Pizza,"Chinese, Continental, Desserts, Italian, South Indian",200,Sample Review Text...,5,Cafes,Bengaluru
"Address_395, Bangalore",Nandhana Palace,No,No,3.5,1161,080-8180005,Marathahalli,Pub,Burgers,"Desserts, Italian, Mexican",1000,Sample Review Text...,3,Delivery,Bengaluru
"Address_235, Bangalore",Nandhana Palace,No,Yes,3.6,532,080-6412833,Jayanagar,Pub,Biryani,"Desserts, North Indian, Thai",600,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_84, Bangalore",Nandhana Palace,No,No,3.5,1265,080-5962567,Jayanagar,Cafe,Pizza,"Beverages, Desserts, Italian",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_739, Bangalore",Nandhana Palace,Yes,No,3.5,932,080-2225651,HSR Layout,Pub,Burgers,"Chinese, Continental, Desserts, Fast Food, North Indian",1200,Sample Review Text...,5,Cafes,Bengaluru
"Address_41, Bangalore",Pizza Hut,Yes,Yes,3,1238,080-3118618,Koramangala,Fine Dining,Salad,"Beverages, Continental, Desserts, North Indian, South Indian",1000,Sample Review Text...,5,Delivery,Bengaluru
"Address_238, Bangalore",Resto_238,Yes,Yes,4,1314,080-5745083,MG Road,Bar,Biryani,Mexican,1000,Sample Review Text...,1,Buffet,Bengaluru
"Address_757, Bangalore",Nandhana Palace,No,No,4.4,1778,080-5608971,Whitefield,Cafe,Sushi,Mexican,2000,Sample Review Text...,1,Delivery,Bengaluru
"Address_270, Bangalore",Pizza Hut,Yes,No,3.4,2511,080-7246319,JP Nagar,Quick Service Restaurant,Sushi,"Desserts, Mexican",800,Sample Review Text...,2,Cafes,Bengaluru
"Address_35, Bangalore",Resto_35,Yes,Yes,2.3,105,080-6059717,Whitefield,Pub,Pizza,"Chinese, Continental, Italian, Mexican",800,Sample Review Text...,4,Buffet,Bengaluru
"Address_896, Bangalore",KFC,Yes,Yes,2.8,2084,080-4673414,Whitefield,Bakery,Burgers,"Beverages, Continental, Fast Food, North Indian",600,Sample Review Text...,4,Cafes,Bengaluru
"Address_36, Bangalore",McDonald's,No,No,3.5,2652,080-8306261,JP Nagar,Casual Dining,Pasta,"Chinese, Desserts, Mexican, South Indian",2000,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_8, Bangalore",Resto_8,Yes,Yes,4.5,1259,080-2161193,HSR Layout,Casual Dining,Pasta,"Chinese, Fast Food",400,Sample Review Text...,2,Dine-out,Bengaluru
"Address_795, Bangalore",Resto_795,No,Yes,2.9,1982,080-3908477,MG Road,Quick Service Restaurant,Sushi,"Beverages, Chinese, Continental, North Indian",400,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_130, Bangalore",Pizza Hut,Yes,No,3.6,1706,080-8546170,Jayanagar,Bakery,Sushi,"Continental, Italian",1200,Sample Review Text...,2,Delivery,Bengaluru
"Address_179, Bangalore",Burger King,Yes,Yes,4.5,1609,080-2828260,JP Nagar,Quick Service Restaurant,Pasta,"Chinese, Continental, Desserts, Italian",600,Sample Review Text...,4,Delivery,Bengaluru
"Address_492, Bangalore",Empire Restaurant,Yes,Yes,4.9,2327,080-8965447,MG Road,Bakery,Pizza,"Chinese, Mexican",2500,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_734, Bangalore",Empire Restaurant,Yes,No,4.1,1256,080-3156762,Jayanagar,Pub,Pasta,"Continental, Desserts, Fast Food",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_346, Bangalore",Onesta,No,No,4.2,2181,080-8529960,HSR Layout,Bakery,Steak,"Beverages, Continental, Desserts, South Indian",1500,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_755, Bangalore",Resto_755,Yes,No,3.5,1796,080-9501071,MG Road,Cafe,Pizza,"Chinese, Mexican",400,Sample Review Text...,2,Dine-out,Bengaluru
"Address_38, Bangalore",Resto_38,No,Yes,3,1058,080-7818732,JP Nagar,Quick Service Restaurant,Salad,"Beverages, Chinese, Continental, Fast Food, North Indian",400,Sample Review Text...,5,Buffet,Bengaluru
"Address_893, Bangalore",Burger King,No,No,3.8,589,080-1702825,Jayanagar,Bar,Biryani,"Chinese, Mexican",1000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_965, Bangalore",Resto_965,Yes,No,2.4,419,080-2087833,JP Nagar,Bakery,Dosa,Fast Food,200,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_764, Bangalore",Resto_764,Yes,Yes,3.5,2599,080-9066089,Koramangala,Bar,Salad,"Mexican, South Indian",1200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_960, Bangalore",Leon Grill,Yes,Yes,3.5,1848,080-5931635,Whitefield,Quick Service Restaurant,Pasta,"Beverages, Chinese, Mexican",1000,Sample Review Text...,3,Buffet,Bengaluru
"Address_914, Bangalore",McDonald's,Yes,No,3.6,1025,080-3690055,Koramangala,Pub,Burgers,Chinese,600,Sample Review Text...,1,Cafes,Bengaluru
"Address_490, Bangalore",Leon Grill,No,Yes,4.2,1943,080-8193952,HSR Layout,Pub,Steak,"Beverages, Desserts, Fast Food, North Indian, South Indian",1200,Sample Review Text...,5,Dine-out,Bengaluru
"Address_79, Bangalore",Resto_79,Yes,Yes,4.2,2023,080-2145653,Marathahalli,Bar,Salad,"Beverages, Desserts, Fast Food, Mexican, Thai",1200,Sample Review Text...,5,Cafes,Bengaluru
